,team_code,Opponent_code,season,Round_code,Venue_code,Referee_code,Formation_code,Day_code,Result_code,GF,GF_rolling,GA,GA_rolling
1540,0,20,2012,14,1,27,12,6,1,0,3.0,2,1.3333333333333333
1541,0,11,2012,15,0,24,12,6,1,1,2.6666666666666665,2,2.0
1542,0,36,2012,10,1,0,12,2,2,5,0.6666666666666666,1,1.6666666666666667
1543,0,19,2012,16,1,18,12,2,0,2,2.0,2,1.6666666666666667
1544,0,30,2012,17,1,4,12,5,2,1,2.6666666666666665,0,1.6666666666666667
1545,0,31,2012,18,0,2,12,5,2,1,2.6666666666666665,0,1.0
1546,0,1,2012,19,1,24,12,5,2,2,1.3333333333333333,1,0.6666666666666666
1547,0,33,2012,20,0,21,12,6,1,1,1.3333333333333333,2,0.3333333333333333
1548,0,32,2012,23,0,14,12,5,2,2,1.3333333333333333,0,1.0
1549,0,27,2012,24,1,4,12,5,2,4,1.6666666666666667,1,1.0
1550,0,35,2012,25,0,11,12,5,2,2,2.3333333333333335,1,1.0
1551,0,24,2012,26,1,28,12,5,2,3,2.6666666666666665,1,0.6666666666666666
1552,0,13,2012,21,1,29,12,1,0,0,3.0,0,1.0
1553,0,14,2012,27,0,0,12,5,2,1,1.6666666666666667,0,0.6666666666666666
1554,0,21,2012,28,1,35,12,6,0,1,1.3333333333333333,1,0.3333333333333333
1555,0,26,2012,29,0,14,12,5,2,1,0.6666666666666666,0,0.3333333333333333
1556,0,37,2012,30,1,27,12,1,2,4,1.0,1,0.3333333333333333
1557,0,23,2012,31,0,11,12,6,2,1,2.0,0,0.6666666666666666
2280,0,1,2013,0,1,2,12,5,1,1,2.0,3,0.3333333333333333
2281,0,14,2013,11,0,11,12,5,2,3,2.0,1,1.3333333333333333
2282,0,33,2013,22,1,25,12,6,2,1,1.6666666666666667,0,1.3333333333333333
2283,0,31,2013,32,0,24,12,5,2,3,1.6666666666666667,1,1.3333333333333333
2284,0,30,2013,33,1,27,12,6,2,3,2.3333333333333335,1,0.6666666666666666
2285,0,32,2013,34,0,21,12,5,2,2,2.3333333333333335,1,0.6666666666666666
2286,0,35,2013,35,0,19,12,6,0,1,2.6666666666666665,1,1.0
2287,0,24,2013,36,1,20,12,5,2,4,2.0,1,1.0
2288,0,12,2013,37,0,4,12,5,2,2,2.3333333333333335,0,1.0
2289,0,19,2013,1,1,24,12,5,2,2,2.3333333333333335,0,0.6666666666666666
2290,0,21,2013,2,0,25,12,6,1,0,2.6666666666666665,1,0.3333333333333333
2291,0,29,2013,3,1,21,12,5,2,2,1.3333333333333333,0,0.3333333333333333
2292,0,10,2013,4,0,19,12,5,2,3,1.3333333333333333,0,0.3333333333333333
2293,0,16,2013,5,1,0,12,2,2,2,1.6666666666666667,0,0.3333333333333333
2294,0,13,2013,6,1,11,12,6,0,1,2.3333333333333335,1,0.0
2295,0,20,2013,7,0,24,12,5,1,3,2.0,6,0.3333333333333333
2296,0,11,2013,8,1,27,12,0,0,0,2.0,0,2.3333333333333335
2297,0,36,2013,9,0,35,12,3,2,3,1.3333333333333333,1,2.3333333333333335
2298,0,23,2013,10,0,20,12,6,2,1,2.0,0,2.3333333333333335
2299,0,10,2013,12,1,14,12,2,2,2,1.3333333333333333,0,0.3333333333333333
